Πρόγραμμα 'Καλλικράτης' (Ενημερώσεις μέχρι 31/12/2010),,,,
"(1) ΕΠΙΠΕΔΑ: 1=Μεγάλες γεωγραφικές ενότητες, 2=Αποκεντρωμένες Διοικήσεις, 3=Περιφέρειες, 4=Περιφεριακές ενότητες, 5=Δήμοι, 6=Δημοτικές Ενότητες, 7=Δημοτικές/Τοπικές Κοινότητες, 8=Οικισμοί",,,,
"(2) ΚΩΔΙΚΟΙ για:  Μεγάλες γεωγραφικές ενότητες, Αποκεντρωμένες Διοικήσεις, Περιφέρειες",,,,
,Επίπεδο (1),Κωδικοί,,Περιγραφή 
α/α,,(2), Κωδικός ΚΑΛΛΙΚΡΑΤΗ,
,,,,
5528,8,122,2002012302,"Νουνεσάτιον,το"
5529,6,122,200202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΧΕΡΟΝΤΑ
5530,7,122,20020201,Τοπική Κοινότητα Γαρδικίου Σούλι
5531,8,122,2002020101,"Γαρδίκιον,το"
5532,7,122,20020202,Τοπική Κοινότητα Γλυκής
5533,8,122,2002020201,"Γλυκή,η"
5534,8,122,2002020202,"Ποταμιά,η"
5535,7,122,20020203,Τοπική Κοινότητα Σκανδάλου
5536,8,122,2002020301,"Σκάνδαλον,το"
5537,8,122,2002020302,"Αγορά,η"
5538,8,122,2002020303,"Μανδρότοπος,ο"
5539,7,122,20020204,Τοπική Κοινότητα Χόικας
5540,8,122,2002020401,"Χόικα,η"
5541,6,122,200203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΟΥΛΙΟΥ
5542,7,122,20020301,Τοπική Κοινότητα Σαμονίδας
5543,8,122,2002030101,"Σαμονίδα,η"
5544,7,122,20020302,Τοπική Κοινότητα Αυλοτόπου
5545,8,122,2002030201,"Αυλότοπος,ο"
5546,7,122,20020303,Τοπική Κοινότητα Κουκουλιών
5547,8,122,2002030301,"Κουκουλιοί,οι"
5548,7,122,20020304,Τοπική Κοινότητα Τσαγγαρίου
5549,8,122,2002030401,"Τσαγγάριον,το"
5550,7,122,20020305,Τοπική Κοινότητα Φροσύνης
5551,8,122,2002030501,"Φροσύνη,η"
5552,5,122,2003,ΔΗΜΟΣ ΦΙΛΙΑΤΩΝ
5553,6,122,200301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΙΛΙΑΤΩΝ
5554,7,122,20030101,Δημοτική Κοινότητα Φιλιατών
5555,8,122,2003010101,"Φιλιάτες,οι"
5556,8,122,2003010102,"Ελαία,η"
5557,7,122,20030102,Τοπική Κοινότητα Αγίου Νικολάου
5558,8,122,2003010201,"Άγιος Νικόλαος,ο"
5559,7,122,20030103,Τοπική Κοινότητα Αγίων Πάντων
5560,8,122,2003010301,"Άγιοι Πάντες,οι"
5561,8,122,2003010302,"Παλαιοχώριον,το (Δ.Δ.Αγίων Πάντων)"
5562,7,122,20030104,Τοπική Κοινότητα Αετού
5563,8,122,2003010401,"Αετός,ο"
5564,7,122,20030105,Τοπική Κοινότητα Αμπελώνος
5565,8,122,2003010501,"Αμπελών,ο"
5566,7,122,20030106,Τοπική Κοινότητα Αναβρυτού
5567,8,122,2003010601,"Αναβρυτόν,το"
5568,7,122,20030107,Τοπική Κοινότητα Αχλαδέας
5569,8,122,2003010701,"Αχλαδέα,η"
5570,7,122,20030108,Τοπική Κοινότητα Βαβουρίου
5571,8,122,2003010801,"Βαβούριον,το"
5572,7,122,20030109,Τοπική Κοινότητα Βρυσέλλας
5573,8,122,2003010901,"Βρυσέλλα,η"
5574,7,122,20030110,Τοπική Κοινότητα Γαρδικίου (Αγίου Γεωργίου) Φιλιατών
5575,8,122,2003011001,"Μέλισσα,η"
5576,8,122,2003011002,"Γαρδίκιον,το"
5577,8,122,2003011003,"Πέραμα,το"
5578,7,122,20030111,Τοπική Κοινότητα Γιρομερίου
5579,8,122,2003011101,"Γιρομέριον,το"
5580,7,122,20030112,Τοπική Κοινότητα Γολάς
5581,8,122,2003011201,"Γολά,η"
5582,8,122,2003011202,"Ροδοστίβα,η"
5583,7,122,20030113,Τοπική Κοινότητα Καλλιθέας Φιλιατών
5584,8,122,2003011301,"Καλλιθέα,η"
5585,7,122,20030114,Τοπική Κοινότητα Κάτω Ξεχώρου
5586,8,122,2003011401,"Βρυσούλα,η"
5587,8,122,2003011402,"Κάτω Ξέχωρον,το"
5588,8,122,2003011403,"Ποταμιά,η"
5589,8,122,2003011404,"Σίταινα,η"
5590,8,122,2003011405,"Σοκολακάτικα,τα"
5591,7,122,20030115,Τοπική Κοινότητα Κεραμίτσης
5592,8,122,2003011501,"Κεραμίτσα,η"
5593,7,122,20030116,Τοπική Κοινότητα Κερασοχωρίου
5594,8,122,2003011601,"Κερασοχώριον,το"
5595,8,122,2003011602,"Μαυρονέριον,το"
5596,7,122,20030117,Τοπική Κοινότητα Κεφαλοχωρίου
5597,8,122,2003011701,"Κεφαλοχώριον,το"
5598,8,122,2003011702,"Κοσσυβάτικα,τα"
5599,7,122,20030118,Τοπική Κοινότητα Κοκκινιάς
5600,8,122,2003011801,"Κοκκινιά,η"
5601,8,122,2003011802,"Τσατσουλαίικα,τα"
5602,7,122,20030119,Τοπική Κοινότητα Κοκκινολιθαρίου
5603,8,122,2003011901,"Κοκκινολιθάριον,το"
5604,8,122,2003011902,"Νεροχώριον,το"
5605,7,122,20030120,Τοπική Κοινότητα Κουρεμαδίου
5606,8,122,2003012001,"Κουρεμάδιον,το"
5607,7,122,20030121,Τοπική Κοινότητα Κρυονερίου
5608,8,122,2003012101,"Κρυονέριον,το"
5609,7,122,20030122,Τοπική Κοινότητα Κυπαρίσσου
5610,8,122,2003012201,"Κυπάρισσον,το"
5611,8,122,2003012202,"Άγιος Αρσένιος,ο"
5612,7,122,20030123,Τοπική Κοινότητα Λεπτοκαρυάς
5613,8,122,2003012301,"Λεπτοκαρυά,η"
5614,8,122,2003012302,"Αγία Μαρίνα,η"
5615,7,122,20030124,Τοπική Κοινότητα Λιας
5616,8,122,2003012401,"Λια,η"
5617,7,122,20030125,Τοπική Κοινότητα Λίστας
5618,8,122,2003012501,"Λίστα,η"
5619,7,122,20030126,Τοπική Κοινότητα Μαλουνίου
5620,8,122,2003012601,"Μαλούνιον,το"
5621,8,122,2003012602,"Αχούρια Μαλουνίου,τα"
5622,8,122,2003012603,"Βελεντζινά Μαλουνίου,τα"
5623,7,122,20030127,Τοπική Κοινότητα Μηλέας
5624,8,122,2003012701,"Μηλέα,η"
5625,7,122,20030128,Τοπική Κοινότητα Ξεχώρου
5626,8,122,2003012801,"Ξέχωρον,το"
5627,8,122,2003012802,"Δάφνη,η"
5628,7,122,20030129,Τοπική Κοινότητα Παλαιοκκλησίου
5629,8,122,2003012901,"Άνω Παλαιοκκλήσιον,το"
5630,8,122,2003012902,"Κάτω Παλαιοκκλήσιον,το"
5631,7,122,20030130,Τοπική Κοινότητα Παλαιοχωρίου
5632,8,122,2003013001,"Παλαιοχώριον,το (Δ.Δ.Παλαιοχωρίου)"
5633,8,122,2003013002,"Δονάτος,ο"
5634,7,122,20030131,Τοπική Κοινότητα Παλαμπά
5635,8,122,2003013101,"Παλαμπάς,ο"
5636,7,122,20030132,Τοπική Κοινότητα Πηγαδούλια
5637,8,122,2003013201,"Πηγαδούλια,τα"
5638,7,122,20030133,Τοπική Κοινότητα Πλαισίου
5639,8,122,2003013301,"Πλαίσιον,το"
5640,8,122,2003013302,"Κώτσικα,η"
5641,7,122,20030134,Τοπική Κοινότητα Πλατάνου
5642,8,122,2003013401,"Πλάτανος,ο"
5643,7,122,20030135,Τοπική Κοινότητα Ραβενής
5644,8,122,2003013501,"Ραβενή,η"
5645,7,122,20030136,Τοπική Κοινότητα Ριζού
5646,8,122,2003013601,"Ριζόν,το"
5647,8,122,2003013602,"Χλομός,ο"
5648,7,122,20030137,Τοπική Κοινότητα Σίδερης
5649,8,122,2003013701,"Σίδερη,η"
5650,7,122,20030138,Τοπική Κοινότητα Τρικορύφου
5651,8,122,2003013801,"Τρικόρυφον,το"
5652,8,122,2003013802,"Φράγμα Καλαμά,το"
5653,7,122,20030139,Τοπική Κοινότητα Τσαμαντά
5654,8,122,2003013901,"Τσαμαντάς,ο"
5655,8,122,2003013902,"Καμίτσανη,η"
5656,7,122,20030140,Τοπική Κοινότητα Φανερωμένης
5657,8,122,2003014001,"Φανερωμένη,η"
5658,7,122,20030141,Τοπική Κοινότητα Φοινικίου
5659,8,122,2003014101,"Φοινίκιον,το"
5660,7,122,20030142,Τοπική Κοινότητα Χαραυγής
5661,8,122,2003014201,"Χαραυγή,η"
5662,8,122,2003014202,"Αγία Βαρβάρα,η"
5663,6,122,200302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΑΓΙΑΔΑΣ
5664,7,122,20030201,Τοπική Κοινότητα Ασπροκκλησίου
5665,8,122,2003020101,"Ασπροκκλήσιον,το"
5666,7,122,20030202,Τοπική Κοινότητα Κεστρίνης
5667,8,122,2003020201,"Κεστρίνη,η"
5668,7,122,20030203,Τοπική Κοινότητα Ραγίου
5669,8,122,2003020301,"Ράγιον,το"
5670,7,122,20030204,Τοπική Κοινότητα Σαγιάδας
5671,8,122,2003020401,"Σαγιάδα,η"
5672,7,122,20030205,Τοπική Κοινότητα Σμέρτου
5673,8,122,2003020501,"Σμέρτος,ο"
5674,4,122,21,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΡΕΒΕΖΑΣ
5675,5,122,2101,ΔΗΜΟΣ ΠΡΕΒΕΖΑΣ
5676,6,122,210101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΡΕΒΕΖΗΣ
5677,7,122,21010101,Δημοτική Κοινότητα Πρεβέζης
5678,8,122,2101010101,"Πρέβεζα,η"
5679,8,122,2101010102,"Άγιος Θωμάς,ο"
5680,8,122,2101010103,"Καλαμίτσι,το"
5681,8,122,2101010104,"Νεοχώριον,το"
5682,8,122,2101010105,"Ψαθάκι,το"
5683,7,122,21010102,Τοπική Κοινότητα Μιχαλιτσίου
5684,8,122,2101010201,"Μιχαλίτσιον,το"
5685,8,122,2101010202,"Άγιος Νικόλαος,ο"
5686,7,122,21010103,Τοπική Κοινότητα Μύτικα
5687,8,122,2101010301,"Μύτικας,ο"
5688,7,122,21010104,Τοπική Κοινότητα Νικοπόλεως
5689,8,122,2101010401,"Νικόπολις,η"
5690,8,122,2101010402,"Μάζωμα,το"
5691,7,122,21010105,Τοπική Κοινότητα Φλαμπούρων
5692,8,122,2101010501,"Φλάμπουρα,τα"
5693,6,122,210102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΖΑΛΟΓΓΟΥ
5694,7,122,21010201,Τοπική Κοινότητα Καναλίου
5695,8,122,2101020101,"Κανάλιον,το"
5696,8,122,2101020102,"Καστροσυκιά,η"
5697,8,122,2101020103,"Μάζιον,το"
5698,8,122,2101020104,"Νέα Θέσις,η"
5699,8,122,2101020105,"Πήδημα Κυράς,το"
5700,7,122,21010202,Τοπική Κοινότητα Βράχου
5701,8,122,2101020201,"Βράχος,ο"
5702,8,122,2101020202,"Λυγιά,η"
5703,8,122,2101020203,"Παραλία,η"
5704,7,122,21010203,Τοπική Κοινότητα Εκκλησιών
5705,8,122,2101020301,"Εκκλησιές,οι"
5706,7,122,21010204,Τοπική Κοινότητα Καμαρίνας
5707,8,122,2101020401,"Καμαρίνα,η"
5708,8,122,2101020402,"Προφήτης Ηλίας,ο"
5709,7,122,21010205,Τοπική Κοινότητα Κρυοπηγής
5710,8,122,2101020501,"Κρυοπηγή,η"
5711,7,122,21010206,Τοπική Κοινότητα Μυρσίνης
5712,8,122,2101020601,"Μυρσίνη,η"
5713,8,122,2101020602,"Κάτω Μυρσίνη,η"
5714,8,122,2101020603,"Μεγαδένδρον,το"
5715,7,122,21010207,Τοπική Κοινότητα Νέας Σαμψούντος
5716,8,122,2101020701,"Νέα Σαμψούς,η"
5717,7,122,21010208,Τοπική Κοινότητα Νέας Σινώπης
5718,8,122,2101020801,"Νέα Σινώπη,η"
5719,8,122,2101020802,"Αρχάγγελος,ο"
5720,7,122,21010209,Τοπική Κοινότητα Ριζών
5721,8,122,2101020901,"Ριζά,τα"
5722,8,122,2101020902,"Κάτω Ριζά,τα"
5723,7,122,21010210,Τοπική Κοινότητα Χειμαδιού
5724,8,122,2101021001,"Χειμαδιόν,το"
5725,6,122,210103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΟΥΡΟΥ
5726,7,122,21010301,Δημοτική Κοινότητα Λούρου
5727,8,122,2101030101,"Λούρος,ο"
5728,7,122,21010302,Τοπική Κοινότητα Άνω Ράχη
5729,8,122,2101030201,"Άνω Ράχη,η"
5730,7,122,21010303,Τοπική Κοινότητα Βρυσούλας
5731,8,122,2101030301,"Βρυσούλα,η"
5732,7,122,21010304,Τοπική Κοινότητα Κοτσανοπούλου
5733,8,122,2101030401,"Άνω Κοτσανόπουλον,το"
5734,8,122,2101030402,"Κάτω Κοτσανόπουλον,το"
5735,7,122,21010305,Τοπική Κοινότητα Νέου Σφηνωτού (Σφηνωτού)
5736,8,122,2101030501,"Νέον Σφηνωτόν,το"
5737,7,122,21010306,Τοπική Κοινότητα Ρευματιάς
5738,8,122,2101030601,"Ρευματιά,η"
5739,8,122,2101030602,"Κάτω Ρευματιά,η"
5740,7,122,21010307,Τοπική Κοινότητα Σκιαδά
5741,8,122,2101030701,"Σκιαδάς,ο"
5742,8,122,2101030702,"Αλώνι,το"
5743,8,122,2101030703,"Κοντάτες,οι"
5744,7,122,21010308,Τοπική Κοινότητα Στεφάνης
5745,8,122,2101030801,"Στεφάνη,η"
5746,7,122,21010309,Τοπική Κοινότητα Τρίκαστρον
5747,8,122,2101030901,"Τρίκαστρον,το"
5748,7,122,21010310,Τοπική Κοινότητα Ωρωπού
5749,8,122,2101031001,"Νέος Ωρωπός,ο"
5750,5,122,2102,ΔΗΜΟΣ ΖΗΡΟΥ
5751,6,122,210201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΙΛΙΠΠΙΑΔΟΣ
5752,7,122,21020101,Δημοτική Κοινότητα Φιλιππιάδος
5753,8,122,2102010101,"Φιλιππιάς,η"
5754,7,122,21020102,Τοπική Κοινότητα Αγίου Γεωργίου
5755,8,122,2102010201,"Άγιος Γεώργιος,ο"
5756,7,122,21020103,Τοπική Κοινότητα Γυμνοτόπου
5757,8,122,2102010301,"Γυμνότοπος,ο"
5758,7,122,21020104,Τοπική Κοινότητα Δρυοφύτου
5759,8,122,2102010401,"Δρυόφυτον,το"
5760,7,122,21020105,Τοπική Κοινότητα Κερασώνος
5761,8,122,2102010501,"Κερασώνα,η"
5762,8,122,2102010502,"Αγία Φανερωμένη,η"
5763,7,122,21020106,Τοπική Κοινότητα Κλεισούρας
5764,8,122,2102010601,"Κλεισούρα,η"
5765,8,122,2102010602,"Πέντε Πηγάδια,τα"
5766,7,122,21020107,Τοπική Κοινότητα Νέας Κερασούντος
5767,8,122,2102010701,"Νέα Κερασούς,η"
5768,8,122,2102010702,"Ηλιοβούνιον,το"
5769,7,122,21020108,Τοπική Κοινότητα Παναγίας
5770,8,122,2102010801,"Παναγία,η"
5771,8,122,2102010802,"Βούλιστα,η"
5772,8,122,2102010803,"Γωνία,η"
5773,7,122,21020109,Τοπική Κοινότητα Πέτρας
5774,8,122,2102010901,"Πέτρα,η"
5775,7,122,21020110,Τοπική Κοινότητα Ρωμιάς
5776,8,122,2102011001,"Ρωμιά,η"
5777,8,122,2102011002,"Παιδόπολις Ζηρού,η"
5778,6,122,210202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΝΩΓΕΙΟΥ
5779,7,122,21020201,Τοπική Κοινότητα Γοργομύλου
5780,8,122,2102020101,"Γοργόμυλος,ο"
5781,8,122,2102020102,"Αγία Παρασκευή,η"
5782,8,122,2102020103,"Βαθύ,το"
5783,8,122,2102020104,"Γεροπλάτανος,ο"
5784,8,122,2102020105,"Γκούρα,η"
5785,8,122,2102020106,"Καστρίον,το"
5786,8,122,2102020107,"Μαρκάται,οι"
5787,8,122,2102020108,"Νέος Γοργόμυλος,ο"
5788,8,122,2102020109,"Ξηρόκαμπος,ο"
5789,8,122,2102020110,"Χαλίκια,τα"
5790,7,122,21020202,Τοπική Κοινότητα Ανωγείου
5791,8,122,2102020201,"Ανώγειον,το"
5792,8,122,2102020202,"Άνω Δρυμών,ο"
5793,7,122,21020203,Τοπική Κοινότητα Τσαγκαροπούλου
5794,8,122,2102020301,"Τσαγκαρόπουλον,το"
5795,8,122,2102020302,"Δρυμών,ο"
5796,6,122,210203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΘΕΣΠΡΩΤΙΚΟΥ
5797,7,122,21020301,Τοπική Κοινότητα Θεσπρωτικού
5798,8,122,2102030101,"Θεσπρωτικόν,το"
5799,7,122,21020302,Τοπική Κοινότητα Άσσου
5800,8,122,2102030201,"Άσσος,ο"
5801,8,122,2102030202,"Κεράσοβον,το"
5802,7,122,21020303,Τοπική Κοινότητα Γαλατά
5803,8,122,2102030301,"Γαλατάς,ο"
5804,8,122,2102030302,"Άγιος Σάββας,ο"
5805,8,122,2102030303,"Ζερβόν,το"
5806,7,122,21020304,Τοπική Κοινότητα Μελιανών
5807,8,122,2102030401,"Μελιανά,τα"
5808,7,122,21020305,Τοπική Κοινότητα Νικολιτσίου
5809,8,122,2102030501,"Νικολίτσιον,το"
5810,8,122,2102030502,"Ελαία,η"
5811,8,122,2102030503,"Πλατάνια,τα"
5812,7,122,21020306,Τοπική Κοινότητα Παππαδατών
5813,8,122,2102030601,"Παππαδάται,αι"
5814,8,122,2102030602,"Άγιοι Απόστολοι,οι"
5815,8,122,2102030603,"Γαλήνη,η"
5816,7,122,21020307,Τοπική Κοινότητα Πολυσταφύλου
5817,8,122,2102030701,"Πολυστάφυλον,το"
5818,8,122,2102030702,"Αγία Τριάδα,η"
5819,7,122,21020308,Τοπική Κοινότητα Ριζοβουνίου
5820,8,122,2102030801,"Ριζοβούνιον,το"
5821,8,122,2102030802,"Ζηρόπολη,η"
5822,6,122,210204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΡΑΝΕΑΣ
5823,7,122,21020401,Τοπική Κοινότητα Κρανέας
5824,8,122,2102040101,"Κρανέα,η"
5825,8,122,2102040102,"Τύργια,η"
5826,5,122,2103,ΔΗΜΟΣ ΠΑΡΓΑΣ
5827,6,122,210301,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΦΑΝΑΡΙΟΥ
5828,7,122,21030101,Δημοτική Κοινότητα Καναλλακίου
5829,8,122,2103010101,"Καναλλάκιον,το"
5830,7,122,21030102,Τοπική Κοινότητα Αηδονιάς
5831,8,122,2103010201,"Αηδονιά,η"
5832,7,122,21030103,Τοπική Κοινότητα Αμμουδιάς
5833,8,122,2103010301,"Αμμουδιά,η"
5834,7,122,21030104,Τοπική Κοινότητα Άνω Σκαφιδωτής
5835,8,122,2103010401,"Άνω Σκαφιδωτή,η"
5836,7,122,21030105,Τοπική Κοινότητα Αχερουσίας
5837,8,122,2103010501,"Αχερουσία,η"
5838,8,122,2103010502,"Αηδόνιον,το"
5839,7,122,21030106,Τοπική Κοινότητα Βαλανιδοράχης
5840,8,122,2103010601,"Βαλανιδόραχη,η"
5841,8,122,2103010602,"Τσουκνίδα,η"
5842,7,122,21030107,Τοπική Κοινότητα Βαλανιδούσσας
5843,8,122,2103010701,"Βαλανιδούσσα,η"
5844,7,122,21030108,Τοπική Κοινότητα Βουβοποτάμου
5845,8,122,2103010801,"Βουβοπόταμος,ο"
5846,8,122,2103010802,"Τσεκούριον,το"
5847,7,122,21030109,Τοπική Κοινότητα Δεσποτικού
5848,8,122,2103010901,"Δεσποτικό,το"
5849,8,122,2103010902,"Κάτω Δεσποτικό,το"
5850,7,122,21030110,Τοπική Κοινότητα Θεμέλου
5851,8,122,2103011001,"Θέμελον,το"
5852,8,122,2103011002,"Δίκορφον,το"
5853,7,122,21030111,Τοπική Κοινότητα Καστρίου
5854,8,122,2103011101,"Καστρίον,το"
5855,7,122,21030112,Τοπική Κοινότητα Κορυφούλας
5856,8,122,2103011201,"Κορυφούλα,η"
5857,7,122,21030113,Τοπική Κοινότητα Κορώνης
5858,8,122,2103011301,"Κορώνη,η"
5859,8,122,2103011302,"Κορωνόπουλον,το"
5860,8,122,2103011303,"Τζάρα,η"
5861,7,122,21030114,Τοπική Κοινότητα Κουκκουλίου
5862,8,122,2103011401,"Χόχλα,η"
5863,8,122,2103011402,"Κουκκούλιο,το"
5864,7,122,21030115,Τοπική Κοινότητα Κυψέλης
5865,8,122,2103011501,"Κυψέλη,η"
5866,7,122,21030116,Τοπική Κοινότητα Λούτσης
5867,8,122,2103011601,"Λούτσα,η"
5868,8,122,2103011602,"Παραλία,η"
5869,7,122,21030117,Τοπική Κοινότητα Μεσοποτάμου
5870,8,122,2103011701,"Μεσοπόταμον,το"
5871,7,122,21030118,Τοπική Κοινότητα Μουζακαιίκων
5872,8,122,2103011801,"Μουζακαίικα,τα"
5873,8,122,2103011802,"Κλεισούρα,η"
5874,7,122,21030119,Τοπική Κοινότητα Ναρκίσσου
5875,8,122,2103011901,"Νάρκισσος,ο"
5876,7,122,21030120,Τοπική Κοινότητα Σκεπαστού
5877,8,122,2103012001,"Σκεπαστόν,το"
5878,8,122,2103012002,"Κάτω Σκαφιδωτή,η"
5879,7,122,21030121,Τοπική Κοινότητα Σταυροχωρίου
5880,8,122,2103012101,"Σταυροχώριον,το"
5881,8,122,2103012102,"Ξηρόλοφος,ο"
5882,6,122,210302,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΡΓΑΣ
5883,7,122,21030201,Δημοτική Κοινότητα Πάργας
5884,8,122,2103020101,"Πάργα,η"
5885,8,122,2103020102,"Αγία Κυριακή,η"
5886,8,122,2103020103,"Άγιος Γεώργιος,ο"
5887,8,122,2103020104,"Μαράς,ο"
5888,8,122,2103020105,"Παναγία,η (νησίς)"
5889,8,122,2103020106,"Χρυσογιάλι,το"
5890,7,122,21030202,Τοπική Κοινότητα Αγιάς
5891,8,122,2103020201,"Αγιά,η"
5892,8,122,2103020202,"Σαρακίνικο,το"
5893,7,122,21030203,Τοπική Κοινότητα Ανθούσης
5894,8,122,2103020301,"Ανθούσα,η"
5895,8,122,2103020302,"Τρίκορφον,το"
5896,7,122,21030204,Τοπική Κοινότητα Λιβαδαρίου
5897,8,122,2103020401,"Βρύσαι,αι"
5898,8,122,2103020402,"Λιβαδάριον,το"
5899,1,2, ,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ
5900,2,23, ,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΘΕΣΣΑΛΙΑΣ - ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
5901,3,231, ,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ
5902,4,231,22,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΡΙΣΑΣ
5903,5,231,2201,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ
5904,6,231,220101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΑΡΙΣΑΙΩΝ
5905,8,231,2201010001,"Λάρισα,η"
5906,8,231,2201010002,"Αμφιθέα,η"
5907,8,231,2201010003,"Κουλούριον,το"
5908,7,231,22010105,Τοπική Κοινότητα Τερψιθέας
5909,8,231,2201010501,"Τερψιθέα,η"
5910,8,231,2201010502,"Άργισσα,η"
5911,6,231,220102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΓΙΑΝΝΟΥΛΗΣ
5912,7,231,22010201,Δημοτική Κοινότητα Γιάννουλης
5913,8,231,2201020101,"Γιάννουλη,η"
5914,8,231,2201020102,"Θεραπευτική Κοινότητα Έξοδος,η (τ.Παιδόπολις Απόστολος Παύλος,η)"
5915,7,231,22010202,Δημοτική Κοινότητα Φαλάννης
5916,8,231,2201020201,"Φάλαννα,η"
5917,8,231,2201020202,"Δασοχώριον,το"
5918,6,231,220103,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΟΙΛΑΔΑΣ
5919,7,231,22010301,Τοπική Κοινότητα Κοιλάδος
5920,8,231,2201030101,"Κοιλάδα,η"
5921,7,231,22010302,Τοπική Κοινότητα Αμυγδαλέας
5922,8,231,2201030201,"Αμυγδαλέα,η"
5923,8,231,2201030202,"Συνοικισμός Προσφύγων,ο"
5924,7,231,22010303,Τοπική Κοινότητα Ελευθερών
5925,8,231,2201030301,"Ελευθεραί,αι"
5926,7,231,22010304,Τοπική Κοινότητα Κουτσοχέρου
5927,8,231,2201030401,"Κουτσόχερον,το"
5928,7,231,22010305,Τοπική Κοινότητα Λουτρού Λαρίσης
5929,8,231,2201030501,"Λουτρόν,το"
5930,8,231,2201030502,"Αργυρόμυλος,ο"
5931,7,231,22010306,Τοπική Κοινότητα Μάνδρας
5932,8,231,2201030601,"Μάνδρα,η"
5933,7,231,22010307,Τοπική Κοινότητα Ραχούλας
5934,8,231,2201030701,"Ραχούλα,η"
5935,8,231,2201030702,"Κάστρον,το"
5936,5,231,2202,ΔΗΜΟΣ ΑΓΙΑΣ
5937,6,231,220201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΓΙΑΣ
5938,7,231,22020101,Δημοτική Κοινότητα Αγιάς
5939,8,231,2202010101,"Αγιά,η"
5940,7,231,22020102,Τοπική Κοινότητα Αετολόφου
5941,8,231,2202010201,"Αετόλοφος,ο"
5942,7,231,22020103,Τοπική Κοινότητα Ανάβρας
5943,8,231,2202010301,"Ανάβρα,η"
5944,8,231,2202010302,"Πρινιάς,ο"
5945,7,231,22020104,Τοπική Κοινότητα Γερακαρίου
5946,8,231,2202010401,"Γερακάριον,το"
5947,7,231,22020105,Τοπική Κοινότητα Ελάφου
5948,8,231,2202010501,"Έλαφος,η"
5949,7,231,22020106,Τοπική Κοινότητα Μεγαλοβρύσου
5950,8,231,2202010601,"Μεγαλόβρυσον,το"
5951,7,231,22020107,Τοπική Κοινότητα Μεταξοχωρίου
5952,8,231,2202010701,"Μεταξοχώριον,το"
5953,7,231,22020108,Τοπική Κοινότητα Νερομύλων
5954,8,231,2202010801,"Νερόμυλοι,οι"
5955,7,231,22020109,Τοπική Κοινότητα Ποταμιάς
5956,8,231,2202010901,"Ποταμιά,η"
5957,6,231,220202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΥΡΥΜΕΝΩΝ
5958,7,231,22020201,Τοπική Κοινότητα Στομίου
5959,8,231,2202020101,"Στόμιον,το"
5960,8,231,2202020102,"Απόστολος Παύλος,ο"
5961,8,231,2202020103,"Κατασκηνώσεις Αγίου Δημητρίου,αι"
5962,8,231,2202020104,"Μονή Αγίου Δημητρίου,η"
5963,7,231,22020202,Τοπική Κοινότητα Καρίτσης
5964,8,231,2202020201,"Καρίτσα,η"
5965,8,231,2202020202,"Κόκκινο Νερό,το"
5966,8,231,2202020203,"Πλατειά 'Αμμος,η"
5967,7,231,22020203,Τοπική Κοινότητα Ομολίου
5968,8,231,2202020301,"Ομόλιον,το"
5969,7,231,22020204,Τοπική Κοινότητα Παλαιοπύργου
5970,8,231,2202020401,"Παλαιόπυργος,ο"
5971,8,231,2202020402,"Αλεξανδρινή, η"
5972,6,231,220203,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΑΚΕΡΕΙΑΣ
5973,7,231,22020301,Τοπική Κοινότητα Δήμητρας
